,Time,Frequency,amplitude
522,2.61,0.28775190485,4.08935406038e-07
523,2.615,0.282513034864,4.08713496544e-07
524,2.62,0.288530008539,4.09858356298e-07
525,2.625,0.281432764063,4.09634113824e-07
526,2.63,0.289296508676,4.10768606881e-07
527,2.635,0.280370445145,4.10542239467e-07
528,2.64,0.290051635768,4.1166619512e-07
529,2.645,0.279326284886,4.11437902646e-07
530,2.65,0.290795606506,4.12551148942e-07
531,2.655,0.278300470893,4.12321123144e-07
532,2.66,0.291528624925,4.13423486916e-07
533,2.665,0.277293172665,4.13191911395e-07
534,2.67,0.292250883279,4.14283218279e-07
535,2.675,0.276304542618,4.1405026851e-07
536,2.68,0.292962562837,4.15130342962e-07
537,2.685,0.27533471696,4.14896186299e-07
538,2.69,0.293663834715,4.159648516e-07
539,2.695,0.274383816285,4.1572964727e-07
540,2.7,0.294354860529,4.16786725526e-07
541,2.705,0.273451946372,4.16550624627e-07
542,2.71,0.295035792829,4.17595936761e-07
543,2.715,0.272539198791,4.17359082244e-07
544,2.72,0.295706775644,4.1839244798e-07
545,2.725,0.271645651325,4.18154974639e-07
546,2.73,0.296367944951,4.1917621248e-07
547,2.735,0.270771368396,4.18938246921e-07
548,2.74,0.297019428848,4.19947174117e-07
549,2.745,0.269916401502,4.19708834734e-07
550,2.75,0.297661348005,4.20705267244e-07
551,2.755,0.269080789381,4.20466664181e-07
552,2.76,0.298293815609,4.21450416626e-07
553,2.765,0.268264558403,4.2121165174e-07
554,2.77,0.298916937664,4.22182537348e-07
555,2.775,0.267467722543,4.21943704152e-07
556,2.78,0.299530812954,4.22901534697e-07
557,2.785,0.266690283579,4.22662718313e-07
558,2.79,0.300135533076,4.2360730404e-07
559,2.795,0.265932231041,4.2336858113e-07
560,2.8,0.30073118224,4.24299730678e-07
561,2.805,0.265193542187,4.24061169376e-07
562,2.81,0.301317837246,4.24978689691e-07
563,2.815,0.264474181886,4.24740349523e-07
564,2.82,0.301895567187,4.25644045752e-07
565,2.825,0.26377410237,4.25405977551e-07
566,2.83,0.302464433105,4.26295652942e-07
